 #  | matching ident  |            identifier             |typ|       coord1 (ICRS,J2000/2000)        |  Mag U  |  Mag B  |  Mag V  |  Mag R  |  Mag I  |  Mag J  |  Mag H  |  Mag K  |  Mag g  |    spec. type     |#bib|#not
1990|WRAY 16-166      |RCW 88                             |HII|15 07 07.50 -57 48 22.0                |     ~   |     ~   |12.00    |     ~   |     ~   |     ~   |     ~   |     ~   |     ~   |~                  |  16|   1
1991|WRAY 16-168      |NGC 5844                           |PN |15 10 40.60 -64 40 25.0                |     ~   |     ~   |12.70    |     ~   |     ~   |     ~   |     ~   |     ~   |     ~   |~                  |  83|   0
1992|WRAY 16-169      |WRAY 16-169                        |PN |15 11 56.56 -55 39 46.6                |     ~   |     ~   |13.00    |     ~   |     ~   |16.441   |     ~   |     ~   |     ~   |~                  |  71|   0
1993|WRAY 16-170      |Gaia DR3 6199243477361421440       |PN |15 12 50.8605628680 -38 07 31.585496844|     ~   |11.6     |9.7      |     ~   |     ~   |     ~   |     ~   |     ~   |     ~   |[WC]               | 144|   0
1994|WRAY 16-171      |Gaia DR3 6000019147299399936       |PN |15 16 49.9562553264 -45 38 58.616280132|     ~   |11.9     |10.9     |     ~   |     ~   |     ~   |     ~   |     ~   |     ~   |~                  | 279|   1
1995|WRAY 16-172      |Gaia DR3 5876692803522748928       |WR*|15 18 20.7584521536 -59 38 17.324150928|14.83    |14.52    |13.28    |12.99    |     ~   |9.898    |9.385    |8.749    |14.14    |WC7                |  51|   2
1996|WRAY 16-174      |Gaia DR3 5883194288821318144       |Em*|15 19 29.6168326920 -57 22 25.201216632|     ~   |16.34    |14.80    |14.44    |12.71    |10.525   |9.194    |8.008    |     ~   |~                  |  10|   1
1997|WRAY 16-175      |Gaia DR3 5887196472462012928       |PN |15 22 19.3810418304 -54 08 12.691013892|     ~   |     ~   |14.00    |     ~   |     ~   |12.405   |12.255   |11.173   |     ~   |O3-4               | 101|   0
1998|WRAY 16-176      |Gaia DR3 6251122593490273792       |PN |15 22 19.2811793544 -23 37 31.412401104|     ~   |12.2     |12.20    |     ~   |     ~   |13.780   |13.948   |13.156   |     ~   |~                  | 221|   0
1999|WRAY 16-177      |Gaia DR3 5883255655307867008       |PN |15 23 42.8825264040 -57 09 25.218026424|     ~   |     ~   |15.50    |     ~   |     ~   |11.805   |11.142   |9.956    |     ~   |~                  |  78|   0
2000|WRAY 16-178      |WRAY 16-178                        |PN |15 23 36.35 -53 51 28.1                |     ~   |     ~   |15.00    |     ~   |     ~   |13.414   |13.170   |12.474   |     ~   |~                  |  62|   0
2001|WRAY 16-179      |WRAY 16-179                        |PN?|15 24 42.0 -51 37 00                   |     ~   |     ~   |     ~   |     ~   |     ~   |     ~   |     ~   |     ~   |     ~   |~                  |   5|   0
2002|WRAY 16-180      |Gaia DR3 5889726659221998592       |Sy*|15 24 49.7859801424 -51 49 52.587850026|     ~   |     ~   |15.501   |     ~   |13.128   |10.585   |9.433    |8.530    |     ~   |M3.5-7e            |  69|   1
2003|WRAY 16-181      |Gaia DR3 5889777649042432256       |PN |15 25 07.8463436232 -51 19 42.135226500|     ~   |     ~   |14.20    |     ~   |     ~   |     ~   |     ~   |     ~   |     ~   |wels?              |  59|   0
2004|WRAY 16-182      |Gaia DR2 5888795544675021312       |PN |15 25 32.6550631928 -52 50 37.942546489|     ~   |     ~   |15.20    |     ~   |     ~   |13.154   |12.655   |11.466   |     ~   |~                  |  54|   0
2005|WRAY 16-183      |Gaia DR3 5881838006914886784       |PN |15 34 16.6410983544 -59 09 08.105422716|     ~   |12.8     |13.10    |     ~   |     ~   |     ~   |     ~   |     ~   |     ~   |~                  | 123|   0
2006|WRAY 16-184      |Gaia DR3 5881952420494531328       |PN |15 38 01.2337979088 -58 44 42.445550256|     ~   |     ~   |15.00    |     ~   |     ~   |     ~   |     ~   |     ~   |     ~   |~                  |  60|   0
2007|WRAY 16-186      |Gaia DR3 5822400362454690688       |Sy*|15 47 10.5029367600 -66 29 16.068689412|13.69    |12.75    |11.6     |13.02    |     ~   |8.970    |8.039    |7.720    |     ~   |K5-M6e             |  63|   2
2008|WRAY 16-187      |Gaia DR3 5833343531156787840       |PN |15 47 41.1732637320 -61 13 05.549514276|     ~   |     ~   |12.10    |     ~   |     ~   |12.411   |12.106   |11.526   |     ~   |wels               | 103|   0
2009|WRAY 16-188      |Gaia DR3 6011573266459331072       |Or*|15 47 50.6288371920 -35 28 35.404076028|     ~   |15.941   |14.748   |14.337   |     ~   |10.574   |9.766    |9.325    |15.373   |M3e                |  86|   0
2010|WRAY 16-189      |Gaia DR3 5983021831411466240       |PN |15 51 19.8573479424 -48 26 07.482892920|     ~   |     ~   |17.00    |     ~   |     ~   |     ~   |     ~   |     ~   |     ~   |~                  |  23|   0
2011|WRAY 16-190      |Gaia DR2 5832448803513250048       |PN |15 52 10.6705171371 -62 30 47.205697345|     ~   |     ~   |13.30    |     ~   |     ~   |14.331   |14.272   |13.366   |     ~   |~                  |  57|   0
2012|WRAY 16-191      |PN VBRC 7                          |PN |15 54 51.01 -51 22 34.0                |     ~   |     ~   |15.00    |     ~   |     ~   |15.882   |14.861   |14.313   |     ~   |~                  |  24|   0
2013|WRAY 16-192      |WRAY 16-192                        |PN?|15 53 28.613 -48 43 22.92              |     ~   |     ~   |16.10    |     ~   |     ~   |13.27    |12.93    |11.932   |     ~   |~                  |   9|   0
2014|WRAY 16-193      |Gaia DR3 5884529954949098752       |Sy*|15 54 44.4419004792 -55 29 34.028008224|     ~   |     ~   |17.762   |     ~   |12.783   |8.382    |6.921    |5.949    |     ~   |M6.5               |  44|   2
2015|WRAY 16-194      |Gaia DR3 5836494250511506432       |PN |15 58 08.1032974200 -55 41 50.351235504|     ~   |     ~   |15.60    |     ~   |     ~   |12.631   |12.385   |11.466   |     ~   |~                  |  90|   0
2016|WRAY 16-195      |WRAY 16-195                        |PN |15 59 08.85 -58 23 52.8                |     ~   |     ~   |14.00    |     ~   |     ~   |     ~   |     ~   |     ~   |     ~   |~                  |  97|   0
2017|WRAY 16-197      |WRAY 16-197                        |PN?|15 59 47.52 -57 30 05.8                |     ~   |     ~   |18.00    |     ~   |     ~   |     ~   |     ~   |     ~   |     ~   |~                  |   7|   0
2018|WRAY 16-198      |Gaia DR3 5836438239720535040       |PN |15 59 57.6368189878 -55 55 33.002692934|     ~   |     ~   |     ~   |     ~   |     ~   |     ~   |     ~   |     ~   |     ~   |[WC9]              | 140|   1
2019|WRAY 16-199      |Gaia DR3 5984378392554625280       |PN |16 00 22.0352748168 -48 15 35.589216276|     ~   |     ~   |16.50    |     ~   |     ~   |13.199   |     ~   |11.943   |     ~   |~                  |  19|   0
2020|WRAY 16-200      |WRAY 16-200                        |PN |16 00 59.14 -55 05 40.1                |     ~   |     ~   |15.80    |     ~   |     ~   |     ~   |     ~   |     ~   |     ~   |~                  |  62|   0
2021|WRAY 16-201      |Gaia DR3 6011169161583903488       |PN |16 01 21.1234809960 -34 32 35.786302980|     ~   |13.2     |12.50    |     ~   |     ~   |13.052   |13.039   |13.044   |     ~   |O7                 | 114|   0
2022|WRAY 16-202      |Gaia DR3 5983463495785177088       |Sy*|16 06 56.9718488064 -49 26 41.591330448|     ~   |     ~   |15.10    |15.82    |12.52    |8.792    |7.391    |6.753    |     ~   |M6                 |  18|   1
2023|WRAY 16-203      |Gaia DR3 5997083008890845184       |Or*|16 08 29.7275063376 -39 03 11.024360496|     ~   |16.26    |15.91    |15.38    |15.69    |14.558   |13.653   |12.580   |     ~   |K0:                | 176|   1
2024|WRAY 16-204      |Gaia DR3 5983038839485182592       |PN |16 08 58.8245963664 -51 01 56.252720676|     ~   |19.1     |17.60    |     ~   |     ~   |15.597   |     ~   |     ~   |     ~   |~                  |  58|   0
2025|WRAY 16-205      |Gaia DR3 5932430076005918848       |HII|16 10 41.0035224792 -54 57 34.657706592|     ~   |     ~   |12.90    |     ~   |     ~   |     ~   |     ~   |     ~   |     ~   |~                  |  59|   1
2026|WRAY 16-207      |Gaia DR3 6022549519257057280       |PN |16 12 58.3635385680 -36 13 47.395106184|     ~   |     ~   |12.10    |     ~   |     ~   |     ~   |     ~   |     ~   |     ~   |~                  | 179|   1
2027|WRAY 16-208      |Gaia DR3 5835411094089870592       |Sy*|16 14 01.1094201648 -56 59 28.043753388|     ~   |     ~   |16.00    |     ~   |     ~   |7.195    |5.811    |4.943    |     ~   |M8/9e              |  90|   1
2028|WRAY 16-209      |Gaia DR3 6022980081133498368       |Em*|16 13 28.1768868744 -34 35 39.387943572|     ~   |10.72    |9.61     |     ~   |     ~   |15.216   |15.197   |14.570   |     ~   |~                  |  60|   0
2029|WRAY 16-210      |Gaia DR2 5931763045992356736       |PN |16 14 32.3972570889 -54 57 04.660854787|     ~   |     ~   |13.00    |     ~   |     ~   |13.693   |13.195   |13.034   |     ~   |~                  | 105|   0
2030|WRAY 16-211      |PN Pe 1-5                          |PN |16 15 20.127 -49 13 21.59              |     ~   |     ~   |13.70    |     ~   |     ~   |11.672   |     ~   |10.429   |     ~   |~                  |  77|   0
2031|WRAY 16-212      |Gaia DR3 5933070468426290944       |PN |16 17 14.3671921032 -53 32 05.512002792|     ~   |     ~   |15.00    |     ~   |     ~   |     ~   |     ~   |     ~   |     ~   |~                  |  62|   0
2032|WRAY 16-213      |Gaia DR3 5934701559547878144       |PN |16 17 13.3915382496 -51 59 10.711893480|     ~   |10.8     |14.00    |     ~   |     ~   |9.352    |7.355    |5.608    |     ~   |O9.5               | 355|   0
2033|WRAY 16-214      |Gaia DR3 5935257740623170048       |LP*|16 19 28.3651148784 -50 37 50.720354688|     ~   |     ~   |14.5     |     ~   |     ~   |6.438    |5.463    |4.849    |     ~   |M:eI?              |  11|   1
2034|WRAY 16-215      |Gaia DR3 5992575625377163264       |PN |16 19 23.2088078304 -42 15 36.708913692|     ~   |     ~   |12.70    |     ~   |     ~   |11.006   |10.558   |10.078   |     ~   |~                  |  87|   0
2035|WRAY 16-216      |WRAY 16-216                        |PN |16 20 55.5 -50 01 30                   |     ~   |     ~   |     ~   |     ~   |     ~   |     ~   |     ~   |     ~   |     ~   |~                  |   5|   1
2036|WRAY 16-217      |Gaia DR2 5932279305469535360       |PN |16 22 14.3332450878 -53 40 54.122927915|     ~   |     ~   |15.50    |     ~   |     ~   |     ~   |     ~   |     ~   |     ~   |~                  |  66|   0
2037|WRAY 16-218      |Gaia DR3 5832053288628607488       |PN |16 23 30.6466211640 -58 19 22.800710784|     ~   |13.7     |13.90    |     ~   |     ~   |13.663   |13.594   |13.067   |     ~   |~                  |  73|   0
2038|WRAY 16-219      |WRAY 16-219                        |PN |16 24 21.44 -54 36 03.2                |     ~   |     ~   |15.00    |     ~   |     ~   |14.758   |14.619   |14.377   |     ~   |~                  |  57|   0
2039|WRAY 16-220      |WRAY 16-220                        |PN |16 24 37.79 -53 22 34.1                |     ~   |     ~   |15.00    |     ~   |     ~   |     ~   |     ~   |     ~   |     ~   |~                  |  72|   0
2040|WRAY 16-221      |Gaia DR3 5933514606761839872       |PN |16 27 50.9220461448 -54 01 28.496218188|     ~   |     ~   |13.20    |     ~   |     ~   |12.188   |12.129   |11.893   |     ~   |B0I-III            |  77|   0
2041|WRAY 16-222      |WRAY 16-222                        |PN |16 29 31.00 -59 09 24.0                |     ~   |14.0     |14.50    |     ~   |     ~   |     ~   |     ~   |     ~   |     ~   |~                  |  49|   0
2042|WRAY 16-223      |Gaia DR3 5933557517709071872       |PN |16 29 53.2961325936 -53 23 14.437777956|     ~   |     ~   |14.50    |     ~   |     ~   |     ~   |     ~   |     ~   |     ~   |~                  |  74|   0
2043|WRAY 16-224      |WRAY 16-224                        |PN |16 29 59.70 -54 09 28.0                |     ~   |     ~   |14.00    |     ~   |     ~   |     ~   |     ~   |     ~   |     ~   |~                  |  51|   0
2044|WRAY 16-225      |Gaia DR3 6017034570775817984       |PN |16 31 30.5708444544 -40 15 12.646208700|     ~   |10.7     |15.55    |     ~   |     ~   |9.935    |9.930    |9.061    |     ~   |~                  | 310|   0
2045|WRAY 16-226      |Gaia DR3 6020686328090453888       |Sy*|16 34 04.2423646032 -35 05 26.739848472|     ~   |     ~   |14.80    |     ~   |     ~   |9.679    |8.028    |6.640    |     ~   |M6.5               |  89|   0
2046|WRAY 16-227      |Gaia DR3 5930562899068086272       |PN |16 35 21.2301791784 -53 50 11.387999040|     ~   |13.5     |14.10    |     ~   |     ~   |     ~   |     ~   |     ~   |     ~   |~                  |  58|   0
2047|WRAY 16-228      |Gaia DR3 5928675582979093376       |PN |16 37 42.7000495176 -55 42 26.393176260|     ~   |12.75    |11.23    |     ~   |     ~   |10.937   |10.744   |10.340   |     ~   |~                  | 105|   0
2048|WRAY 16-229      |Gaia DR3 6019559637912934912       |PN |16 39 28.1078617632 -36 34 16.612718916|     ~   |     ~   |15.20    |     ~   |     ~   |13.813   |13.332   |12.282   |     ~   |~                  |  49|   0
2049|WRAY 16-230      |Gaia DR3 5943382139466094720       |Sy*|16 41 31.2089866368 -45 13 04.601199180|     ~   |     ~   |15       |     ~   |     ~   |8.168    |6.656    |5.778    |     ~   |M3-M7e             |  42|   1
2050|WRAY 16-232      |Gaia DR3 5943135780115239680       |Be*|16 43 16.3701582960 -46 00 42.406912656|     ~   |17.12    |12.5     |12.92    |10.25    |6.258    |5.077    |4.21     |     ~   |Be                 |  27|   0
2051|WRAY 16-233      |Gaia DR3 5818044445302448000       |Sy*|16 44 35.4680860800 -62 37 14.058789276|     ~   |11.91    |11.38    |12.33    |     ~   |7.325    |6.409    |5.979    |11.696   |M6                 | 101|   1
2052|WRAY 16-234      |Gaia DR3 6019844995543616256       |PN |16 48 54.1065182208 -35 47 08.952429948|     ~   |11.5     |13.60    |     ~   |     ~   |11.826   |11.480   |10.533   |     ~   |[WC11]             |  68|   0
2053|WRAY 16-235      |Gaia DR3 5970798427549713792       |PN |16 50 25.3507823664 -39 08 19.095453096|     ~   |     ~   |15.50    |     ~   |     ~   |14.324   |13.859   |12.568   |     ~   |~                  |  36|   0
2054|WRAY 16-236      |PN PC 13                           |PN |16 50 17.11 -30 19 55.5                |     ~   |12.9     |14.00    |     ~   |     ~   |     ~   |     ~   |     ~   |     ~   |~                  |  39|   0
2055|WRAY 16-237      |Gaia DR3 6034584803576395648       |Sy*|16 51 20.4046944360 -26 00 26.822670444|     ~   |11.5     |11.9     |     ~   |     ~   |9.087    |7.555    |6.256    |     ~   |~                  |  73|   1
2056|WRAY 16-238      |Gaia DR3 5817579661117922688       |PN |16 54 35.1297096456 -64 14 28.564429056|     ~   |12.03    |11.72    |     ~   |     ~   |11.795   |11.852   |11.133   |     ~   |O(H)4-8III-V       | 107|   0
2057|WRAY 16-239      |PN H 1-3                           |PN |16 53 31.33 -42 39 22.8                |     ~   |     ~   |14.00    |     ~   |     ~   |     ~   |     ~   |     ~   |     ~   |~                  |  46|   0
2058|WRAY 16-240      |Gaia DR3 6027623799797947776       |PN |16 53 37.0764407952 -31 40 33.135570228|     ~   |13.6     |13.1     |     ~   |     ~   |14.616   |14.564   |14.056   |     ~   |~                  |  42|   0
2059|WRAY 16-241      |PN Vd 6                            |PN |16 54 27.36 -38 44 10.5                |     ~   |     ~   |17.70    |     ~   |     ~   |15.073   |14.335   |13.789   |     ~   |~                  |  29|   0
2060|WRAY 16-242      |Gaia DR3 6029584057264295168       |PN |16 55 47.2880952912 -29 50 18.614458536|     ~   |14.03    |12.53    |15.29    |14.47    |13.468   |13.484   |12.83    |     ~   |~                  |  34|   0
2061|WRAY 16-243      |Gaia DR3 5966477793490248960       |PN |16 57 23.7543947808 -41 37 58.216237068|     ~   |     ~   |15.00    |     ~   |     ~   |12.292   |11.791   |10.440   |     ~   |~                  |  45|   0
2062|WRAY 16-244      |Gaia DR3 5808014459690304000       |PN |17 01 17.2316715000 -70 06 03.236760432|     ~   |13.20    |11.99    |     ~   |     ~   |13.666   |13.862   |13.178   |     ~   |~                  |  60|   0
2063|WRAY 16-245      |Gaia DR3 5978248095516721280       |PN |17 01 06.2230175160 -34 49 38.610796908|     ~   |     ~   |14.40    |     ~   |     ~   |13.073   |12.997   |12.115   |     ~   |~                  |  80|   0
2064|WRAY 16-246      |Gaia DR3 5978493286612599424       |PN |17 02 19.0885293528 -33 10 04.843181568|     ~   |16.28    |15.08    |     ~   |14.44    |13.60    |13.82    |12.76    |     ~   |~                  |  71|   0
2065|WRAY 16-247      |Gaia DR2 5978397113707361536       |PN |17 04 36.2535135873 -33 59 18.777826386|     ~   |     ~   |13.25    |     ~   |     ~   |11.403   |11.181   |10.304   |     ~   |O                  | 148|   0
2066|WRAY 16-248      |PN M 2-8                           |PN |17 05 30.70 -32 32 08.1                |     ~   |     ~   |14.50    |     ~   |     ~   |13.996   |13.947   |12.956   |     ~   |[WC2/3]            |  65|   0
2067|WRAY 16-249      |PN Pe 1-8                          |PN |17 06 22.49 -44 13 09.4                |     ~   |     ~   |14.00    |     ~   |     ~   |     ~   |     ~   |     ~   |     ~   |~                  |  38|   0
2068|WRAY 16-250      |Gaia DR3 5965494928876093824       |PN |17 06 59.0827919760 -42 41 08.472952788|     ~   |     ~   |15.00    |     ~   |     ~   |     ~   |     ~   |     ~   |     ~   |~                  |  34|   0
2069|WRAY 16-251      |Gaia DR3 5963605319383850624       |PN?|17 07 30.6034509216 -44 22 50.343108168|     ~   |     ~   |17.50    |     ~   |17.23    |15.34    |     ~   |13.50    |     ~   |~                  |  13|   0
2070|WRAY 16-252      |Gaia DR3 5978167556310066944       |Sy*|17 07 21.7345450632 -34 05 14.436760812|     ~   |     ~   |14.00    |     ~   |     ~   |7.537    |6.473    |5.964    |     ~   |~                  |  67|   2
2071|WRAY 16-253      |RCW 117                            |HII|17 09 34.0 -41 36 12                   |     ~   |     ~   |     ~   |     ~   |     ~   |     ~   |     ~   |     ~   |     ~   |~                  |  69|   2
2072|WRAY 16-254      |Gaia DR3 5965810351256669952       |PN |17 10 27.3823210128 -41 52 49.392533604|     ~   |15.028   |13.421   |14.078   |     ~   |     ~   |     ~   |10.386   |13.697   |~                  |  51|   0
2073|WRAY 16-255      |WRAY 16-255                        |Em*|17 10 13.732 -32 58 50.83              |     ~   |     ~   |14.11    |     ~   |     ~   |12.869   |12.589   |11.930   |     ~   |~                  |  11|   0
2074|WRAY 16-256      |Gaia DR3 4108648286156728192       |PN |17 10 41.7794192424 -27 08 44.078638704|     ~   |     ~   |15.20    |     ~   |     ~   |13.448   |13.277   |12.370   |     ~   |~                  |  77|   0
2075|WRAY 16-257      |Gaia DR3 5923374773032038528       |PN |17 11 45.2045249064 -55 24 01.663701948|     ~   |10.0     |13.0     |     ~   |     ~   |15.646   |     ~   |     ~   |     ~   |~                  | 137|   1
2076|WRAY 16-258      |Gaia DR3 4109362831302119552       |PN |17 12 39.1651407264 -25 43 37.502399244|     ~   |     ~   |14.70    |     ~   |     ~   |14.771   |14.983   |14.053   |     ~   |~                  |  64|   0
2077|WRAY 16-259      |NGC 6302                           |PN |17 13 44.5 -37 06 11                   |     ~   |     ~   |     ~   |     ~   |     ~   |     ~   |     ~   |     ~   |     ~   |O-rich             | 808|   2
2078|WRAY 16-261      |WRAY 16-261                        |PN |17 19 32.50 -45 53 15.0                |     ~   |     ~   |14.00    |     ~   |     ~   |     ~   |     ~   |     ~   |     ~   |~                  |  34|   0
2079|WRAY 16-262      |NGC 6326                           |PN |17 20 46.252 -51 45 15.17              |     ~   |12.83    |11.53    |16.00    |15.16    |14.55    |     ~   |     ~   |     ~   |O(H)5-8((fc))      | 150|   0
2080|WRAY 16-263      |PN M 2-11                          |PN |17 20 33.27 -29 00 39.1                |     ~   |     ~   |14.00    |     ~   |     ~   |13.743   |13.519   |12.812   |     ~   |~                  |  82|   0
2081|WRAY 16-264      |Gaia DR3 4059407207673857024       |PN |17 21 04.4699050536 -29 02 59.700223716|     ~   |     ~   |16.00    |     ~   |     ~   |     ~   |     ~   |     ~   |     ~   |~                  |  95|   0
2082|WRAY 16-265      |PN M 3-39                          |PN |17 21 11.49 -27 11 36.3                |     ~   |     ~   |14.00    |     ~   |     ~   |     ~   |     ~   |     ~   |     ~   |~                  |  80|   0
2083|WRAY 16-266      |Gaia DR2 5924816851223108864       |PN |17 22 36.9990979252 -52 46 34.588520630|     ~   |     ~   |15.00    |     ~   |     ~   |     ~   |     ~   |     ~   |     ~   |~                  |  28|   0
2084|WRAY 16-267      |Gaia DR3 5972577055062637056       |PN |17 22 15.6721413768 -38 29 01.735593252|     ~   |     ~   |12.00    |     ~   |     ~   |     ~   |     ~   |     ~   |     ~   |wels               | 142|   0
2085|WRAY 16-268      |Gaia DR3 4058144452904858880       |Em*|17 23 59.2518860568 -31 01 51.494308464|     ~   |     ~   |     ~   |     ~   |     ~   |10.913   |9.523    |8.953    |     ~   |~                  |  16|   2
2086|WRAY 16-269      |WRAY 16-269                        |PN?|17 24 30.3 -34 41 54                   |     ~   |     ~   |     ~   |     ~   |     ~   |     ~   |     ~   |     ~   |     ~   |~                  |   5|   0
2087|WRAY 16-270      |Gaia DR3 4059510458668468992       |PN |17 24 34.4529856560 -29 24 19.796240052|     ~   |     ~   |14.60    |     ~   |     ~   |     ~   |     ~   |     ~   |     ~   |[WC]               |  96|   0
2088|WRAY 16-271      |PN M 3-8                           |PN |17 24 52.15 -28 05 54.6                |     ~   |     ~   |15.40    |     ~   |     ~   |     ~   |     ~   |     ~   |     ~   |~                  |  90|   0
2089|WRAY 16-272      |Gaia DR3 5952577144700811136       |PN |17 26 12.3147580152 -44 11 25.512172476|     ~   |12.55    |12.30    |13.26    |     ~   |11.797   |11.781   |11.009   |     ~   |wels?              |  46|   0
2090|WRAY 16-273      |Gaia DR3 5975747702989704064       |PN |17 26 24.2983159272 -35 01 41.378383416|     ~   |     ~   |14       |     ~   |     ~   |10.432   |8.626    |7.270    |     ~   |~                  |  51|   0
2091|WRAY 16-274      |PN Cn 1-4                          |PN |17 27 48.785 -46 55 41.30              |     ~   |     ~   |12.90    |14.88    |     ~   |13.769   |13.700   |12.946   |     ~   |~                  |  30|   0
2092|WRAY 16-275      |PN M 3-10                          |PN |17 27 20.19 -28 27 51.2                |     ~   |     ~   |14.40    |     ~   |     ~   |13.175   |12.970   |12.064   |     ~   |~                  |  94|   0
2093|WRAY 16-276      |Gaia DR2 4109679250049965440       |PN |17 29 23.4288306495 -26 26 05.773990642|     ~   |16.9     |15.63    |14.25    |15.37    |13.142   |12.547   |11.638   |     ~   |~                  |  58|   1
2094|WRAY 16-277      |Gaia DR3 4111368477921050368       |PN |17 29 20.4566510904 -23 45 34.771819248|     ~   |16.6     |12.00    |     ~   |     ~   |12.452   |11.873   |11.475   |     ~   |[WC4]              | 329|   0
2095|WRAY 16-278      |Gaia DR3 5952198676546036096       |PN |17 30 03.8807837544 -45 22 50.719871748|     ~   |     ~   |15.70    |     ~   |     ~   |     ~   |     ~   |     ~   |     ~   |~                  |  21|   0
2096|WRAY 16-279      |PN H 1-19                          |PN |17 30 02.57 -27 59 17.5                |     ~   |     ~   |16.30    |     ~   |     ~   |     ~   |     ~   |     ~   |     ~   |~                  |  77|   0
2097|WRAY 16-280      |Gaia DR3 4061195563412585344       |PN |17 30 43.8092470056 -28 04 06.841201728|     ~   |17.1     |16.0     |     ~   |     ~   |13.704   |13.502   |12.445   |     ~   |~                  |  84|   0
2098|WRAY 16-281      |PN Th 3-25                         |PN |17 30 46.81 -27 05 58.0                |     ~   |     ~   |16.90    |     ~   |     ~   |13.866   |13.170   |12.429   |     ~   |~                  |  43|   0
2099|WRAY 16-282      |PN Al 2-F                          |PN |17 30 30.44 -28 35 54.9                |     ~   |     ~   |17.50    |     ~   |     ~   |     ~   |     ~   |     ~   |     ~   |~                  |  29|   0
2100|WRAY 16-283      |Gaia DR3 5962119947915694976       |PN |17 32 22.1496278448 -37 57 23.714516232|     ~   |     ~   |16.70    |     ~   |     ~   |13.940   |13.652   |12.647   |     ~   |~                  |  34|   0
2101|WRAY 16-284      |Gaia DR3 5959304437876436224       |PN |17 32 47.8114390416 -40 58 28.653130920|     ~   |     ~   |15.20    |     ~   |     ~   |13.520   |13.004   |12.389   |     ~   |~                  |  30|   0
2102|WRAY 16-285      |PN H 1-23                          |PN |17 32 46.92 -30 00 14.9                |     ~   |     ~   |16.00    |     ~   |     ~   |     ~   |     ~   |     ~   |     ~   |~                  |  76|   0
2103|WRAY 16-286      |WRAY 16-286                        |PN |17 33 00.67 -36 43 51.8                |     ~   |     ~   |15.40    |     ~   |     ~   |11.980   |10.927   |10.439   |     ~   |~                  |  46|   0
2104|WRAY 16-287      |WRAY 16-287                        |PN |17 34 20.00 -38 09 07.0                |     ~   |     ~   |17.00    |     ~   |     ~   |     ~   |     ~   |     ~   |     ~   |~                  |   9|   1
2105|WRAY 16-288      |Gaia DR3 5948679547781501184       |PN |17 35 41.7341337120 -46 59 49.273282680|     ~   |12.9     |13.30    |     ~   |     ~   |     ~   |     ~   |     ~   |     ~   |wels               |  48|   0
2106|WRAY 16-289      |Gaia DR3 4058561820720486272       |Sy*|17 35 22.2394032936 -29 45 19.908283968|     ~   |     ~   |15.70    |     ~   |     ~   |10.415   |8.633    |6.949    |     ~   |~                  |  43|   1
2107|WRAY 16-290      |Gaia DR3 5946831685377720576       |PN |17 36 06.9416309496 -49 25 45.242375808|     ~   |13.5     |14.50    |     ~   |     ~   |14.940   |14.805   |14.467   |     ~   |~                  |  40|   0
2108|WRAY 16-291      |Gaia DR3 5961023459912201088       |PN |17 36 29.8983692976 -39 21 56.702843496|     ~   |     ~   |14.40    |     ~   |     ~   |14.927   |14.539   |14.046   |     ~   |[WC4/5]            |  46|   0
2109|WRAY 16-292      |Gaia DR3 4053759222599074048       |WR*|17 36 19.8953017656 -33 26 12.271864344|16.01    |14.87    |13.18    |12.99    |     ~   |8.289    |6.672    |5.268    |     ~   |WC9                |  92|   1
2110|WRAY 16-293      |PN Fg 2                            |PN |17 39 19.86 -44 09 37.5                |     ~   |12.5     |12.50    |     ~   |     ~   |13.656   |13.776   |13.033   |     ~   |~                  |  39|   0
2111|WRAY 16-294      |Gaia DR3 4061952680197028224       |LP*|17 39 13.8080337504 -25 38 05.062491564|     ~   |     ~   |14.5     |14.71    |12.44    |10.148   |9.163    |8.585    |     ~   |K5                 |  14|   1
2112|WRAY 16-295      |WRAY 16-295                        |PN?|17 40 36.2 -34 30 34                   |     ~   |     ~   |     ~   |     ~   |     ~   |     ~   |     ~   |     ~   |     ~   |~                  |   6|   0
2113|WRAY 16-296      |Gaia DR3 4068200586367730944       |PN |17 41 52.8002065320 -24 42 08.330663196|     ~   |18.4     |17       |     ~   |     ~   |     ~   |     ~   |     ~   |     ~   |[WC4]              | 230|   1
2114|WRAY 16-297      |Gaia DR3 4068369945446105728       |PN |17 41 57.2678295912 -24 11 16.203074712|     ~   |     ~   |14.70    |15.71    |14.50    |12.98    |12.824   |11.80    |     ~   |~                  |  67|   0
2115|WRAY 16-298      |WRAY 16-298                        |PN?|17 44 09.7 -32 01 44                   |     ~   |     ~   |     ~   |     ~   |     ~   |     ~   |     ~   |     ~   |     ~   |~                  |   8|   0
2116|WRAY 16-299      |Gaia DR2 4041789389226809728       |WV*|17 44 13.8729577601 -34 17 32.824856894|     ~   |     ~   |14.90    |16.04    |14.90    |13.734   |13.335   |12.523   |     ~   |[WC4/6]            |  74|   0
2117|WRAY 16-300      |PN M 3-14                          |PN |17 44 20.62 -34 06 40.6                |     ~   |     ~   |14.90    |     ~   |     ~   |13.831   |     ~   |12.407   |     ~   |~                  |  89|   0
2118|WRAY 16-301      |PN H 1-30                          |PN |17 45 06.80 -38 08 49.7                |     ~   |     ~   |15.70    |     ~   |     ~   |14.684   |14.552   |13.662   |     ~   |~                  |  41|   0
