 #  | matching ident  |            identifier             |typ|       coord1 (ICRS,J2000/2000)        |  Mag U  |  Mag B  |  Mag V  |  Mag R  |  Mag I  |  Mag J  |  Mag H  |  Mag K  |  Mag g  |    spec. type     |#bib|#not
806 |WRAY 15-681      |Gaia DR3 5338422591176599040       |WR*|10 53 44.8179035891 -59 30 46.684250766|10.38    |10.94    |10.51    |10.48    |     ~   |     ~   |     ~   |     ~   |10.76    |WN4+O8V            | 126|   0
807 |WRAY 15-683      |Gaia DR3 5338228291205918720       |Em*|10 54 11.0414428464 -60 28 13.594519524|     ~   |     ~   |10.9     |     ~   |     ~   |10.853   |10.613   |10.279   |     ~   |~                  |   3|   0
808 |WRAY 15-684      |Gaia DR3 5242085310835178880       |Em*|10 54 10.7942104056 -61 28 17.758156476|     ~   |11.93    |12.07    |     ~   |     ~   |11.589   |11.554   |11.444   |     ~   |~                  |   4|   0
809 |WRAY 15-685      |Gaia DR3 5338974825224036096       |Be*|10 54 21.9039542040 -58 04 12.032596704|     ~   |10.18    |9.90     |10.01    |     ~   |9.092    |8.938    |8.722    |10.15    |B3                 |  22|   0
810 |WRAY 15-686      |THA 35-II-134                      |Em*|10 55 36.70 -59 11 07.0                |     ~   |     ~   |13.2     |     ~   |     ~   |     ~   |     ~   |     ~   |     ~   |~                  |   2|   0
811 |WRAY 15-687      |Gaia DR3 5340552555694444800       |Em*|10 55 49.3075290720 -57 04 37.771701708|     ~   |10.84    |10.61    |     ~   |     ~   |9.930    |9.851    |9.669    |     ~   |B8                 |   6|   0
812 |WRAY 15-688      |Gaia DR3 5241708070931880320       |Em*|10 55 48.2454475872 -62 43 37.379501652|     ~   |12.24    |12.23    |     ~   |     ~   |10.731   |10.464   |10.127   |     ~   |~                  |   4|   0
813 |WRAY 15-689      |Gaia DR3 5338318932185568128       |s*b|10 55 55.3806894360 -60 14 20.206985676|10.42    |10.84    |10.47    |10.52    |     ~   |9.455    |9.194    |8.994    |10.61    |B3Iab              |  29|   0
814 |WRAY 15-690      |Gaia DR3 5338220732024245632       |** |10 55 58.9149262296 -60 23 33.436864428|8.67     |9.37     |8.70     |8.07     |     ~   |6.755    |5.937    |4.973    |9.09     |B0/2eq             | 156|   0
815 |WRAY 15-691      |Gaia DR3 5338221110019476864       |LP*|10 56 05.4447281088 -60 23 25.551972384|     ~   |10.805   |9.106    |9.287    |     ~   |5.240    |4.347    |3.979    |9.909    |M3                 |   9|   0
816 |WRAY 15-692      |Gaia DR3 5231822572350253568       |LP?|10 55 16.0160886840 -69 23 53.307031956|     ~   |     ~   |12.30    |     ~   |     ~   |6.494    |5.560    |5.137    |     ~   |~                  |   2|   0
817 |WRAY 15-693      |Gaia DR3 5338220285385672064       |WR*|10 56 11.5781414448 -60 27 12.810673260|7.00     |7.57     |6.96     |7.73     |     ~   |5.420    |5.084    |4.531    |8.11     |WN11h              | 635|   0
818 |WRAY 15-694      |Gaia DR3 5338757701704947968       |Em*|10 56 14.2916095656 -59 14 49.752708864|     ~   |     ~   |12.5     |     ~   |     ~   |11.036   |10.790   |10.600   |     ~   |~                  |   5|   0
819 |WRAY 15-695      |Gaia DR3 5337986673525946496       |Em*|10 56 28.0738869312 -61 05 56.026328748|10.13    |11.04    |10.83    |10.79    |     ~   |10.039   |9.828    |9.555    |10.88    |B0/2               |  17|   0
820 |WRAY 15-696      |Gaia DR3 5338757534249464448       |Em*|10 56 30.3704204160 -59 15 21.055174524|     ~   |12.24    |12.22    |     ~   |     ~   |11.378   |11.250   |11.052   |     ~   |~                  |   3|   0
821 |WRAY 15-697      |Gaia DR3 5241841867753245568       |Em*|10 57 06.0372650160 -62 06 27.156345228|     ~   |12.11    |11.73    |     ~   |     ~   |     ~   |     ~   |     ~   |     ~   |~                  |   4|   0
