Alias1,gaia_id,source_id,ra,dec,Gmag,BPmag,RPmag,parallax,e_parallax,pmRA,e_pmRA,pmDE,e_pmDE,ruwe,teff,logg,feh,tmass_id,Jmag,Hmag,Kmag,e_Jmag,e_Hmag,e_Kmag,qual_tmass,wise_id,W1mag,W2mag,W3mag,W4mag,e_W1mag,e_W2mag,e_W3mag,e_W4mag,qual_wise,has_tmass_nf,has_wise_nf,radial_velocity,parallax_over_error,Gflux,e_Gflux,BPflux,e_BPflux,RPflux,e_RPflux,e_radial_velocity,ra_2mass,dec_2mass,ra_wise,dec_wise
Gaia DR3 4253520659831494784,Gaia DR3 4253520659831494784,4253520659831494784,281.5627179347139,-5.70587149865165,15.424965,17.068892,14.187141,0.165413989105243,0.03685894,-2.742917951752716,0.0390217,-7.084126954785252,0.033160925,1.0865564,,,,18461505-0542210,12.104,11.406,10.926,0.033,0.03,0.03,AAA,J184615.07-054221.3,10.281,9.966,8.845,7.003,0.026,0.026,0.043,0.165,AAAB,True,True,,4.4877577,12733.87820886188,20.423216,2031.7046049409523,12.573294,16761.06897741812,96.514915,,281.562741,-5.70584,281.5628006,-5.7059319
Gaia DR3 4254678995275751808,Gaia DR3 4254678995275751808,4254678995275751808,285.9959286468532,-4.317222317290084,10.847903,11.210781,10.286436,0.1359114720981432,0.014742487,-0.4365359717595422,0.016971575,-5.63134711564408,0.0134769855,0.87083375,,,,19035902-0419018,9.524,9.282,8.917,0.027,0.029,0.023,AAA,J190359.00-041901.8,8.402,7.995,7.213,6.304,0.022,0.02,0.021,0.064,AAAA,True,True,,9.219032,862552.5238864417,1472.5518,447820.95355019625,2166.56,608952.8854227153,3181.4011,,285.995926,-4.317193,285.9958574,-4.3171918
Gaia DR3 4258284534415364224,Gaia DR3 4258284534415364224,4258284534415364224,281.05479928406805,-3.7993936409870814,11.081537,12.135178,10.071271,0.2643582108532918,0.016489841,-0.7318208324086549,0.017472787,-2.6149157585825464,0.015651263,0.8356079,,,,18441314-0347577,8.295,7.056,5.773,0.027,0.044,0.023,AAA,J184413.18-034757.7,4.422,3.33,3.199,2.94,0.193,0.174,0.021,0.026,BBAA,True,True,,16.03158,695555.8819867107,1143.5502,191137.4424140478,738.40826,742420.0711731273,3492.443,,281.054785,-3.799382,281.0549346,-3.7993818
Gaia DR3 4258462655287419776,Gaia DR3 4258462655287419776,4258462655287419776,280.5262821077134,-3.806261798863277,18.654482,22.432755,16.917244,0.2333230528811575,0.37571263,-2.8542843372789037,0.3713907,-5.415904212429469,0.32242486,1.2771901,,,,18420630-0348224,11.946,10.216,9.162,0.029,0.022,0.021,AAA,J184206.29-034822.5,8.261,7.614,7.1,7.826,0.024,0.021,0.053,0.293,AAAB,True,True,,0.62101465,650.3599866681836,2.3204389,14.531661787330023,4.304837,1356.0036548446217,15.756089,,280.526285,-3.806245,280.5262233,-3.8062687
Gaia DR3 4258557110213184896,Gaia DR3 4258557110213184896,4258557110213184896,280.69550194647564,-3.2214827775416386,16.7517,18.290924,15.57106,0.2755378763679174,0.067955054,-0.1895143949255734,0.07633911,-2.657973174801841,0.058957767,0.93332946,8195.54,4.0009,-0.7389,18424692-0313172,13.508,12.834,12.325,0.027,0.028,0.027,AAA,J184246.89-031315.5,11.581,11.05,5.472,2.604,0.063,0.053,0.021,0.038,AAAA,True,True,,4.0547075,3752.032828787618,6.798103,659.2454139268986,8.351218,4685.262684429314,28.644943,,280.695503,-3.221458,280.695408,-3.2209996
Gaia DR3 4258650877925467264,Gaia DR3 4258650877925467264,4258650877925467264,280.8218018492983,-3.1490758911251127,18.162117,21.459185,16.59431,0.0696476140451406,0.16574055,-3.5198069771884173,0.18474388,-4.284701266156533,0.1656806,0.9703858,,,,18431722-0308568,12.639,11.029,10.377,,,0.039,UUA,J184317.20-030856.9,9.57,9.503,10.478,6.648,0.027,0.03,,,AAUU,True,True,,0.4202207,1023.5284373065272,1.730682,35.624029994140166,6.153143,1825.7201769476956,13.768421,,280.821786,-3.149118,280.8216776,-3.1491663
Gaia DR3 4258685375104408960,Gaia DR3 4258685375104408960,4258685375104408960,281.32243165816993,-2.803645639275033,14.97089,17.72599,13.50841,0.1985798099480369,0.052895486,-1.5764001563897565,0.062803715,-3.9596028810780552,0.056864608,1.1517161,,,,18451738-0248130,9.97,8.113,6.602,0.032,0.034,0.016,AAA,J184517.36-024812.8,4.933,4.0,3.945,3.673,0.439,0.275,0.018,0.041,CBAA,True,True,,3.7541919,19345.982957172306,31.544275,1109.2281021645003,12.97072,31318.00552070461,133.77216,,281.322436,-2.80363,281.3223633,-2.803582
Gaia DR3 4258706295872782592,Gaia DR3 4258706295872782592,4258706295872782592,281.0860656790419,-2.614234256545904,18.032547,21.423435,16.418505,-0.2542064085636443,0.2030698,-1.8679048317035412,0.21885656,-3.3871621119748734,0.18544868,1.1650741,3826.7341,1.2937,0.3252,18442065-0236510,12.744,11.571,10.72,0.032,0.038,0.026,AAA,J184420.66-023650.9,9.94,9.605,8.375,5.528,0.029,0.028,0.354,,AABU,True,True,,-1.2518178,1153.262454263484,3.1253781,36.81653502433933,4.000348,2146.6263118016414,12.345685,,281.086075,-2.614179,281.0861195,-2.6141395
Gaia DR3 4260047188967522304,Gaia DR3 4260047188967522304,4260047188967522304,282.3639085349359,-1.072428013025948,15.179286,17.425602,13.774144,0.190387144789102,0.04379668,-1.920020099054237,0.045859773,-3.908443856220388,0.042668734,1.1021825,6881.237,1.6042,-0.3163,18492733-0104207,10.943,10.068,9.473,0.028,0.033,0.024,AAA,J184927.34-010420.4,8.812,8.498,8.333,7.572,0.024,0.024,0.09,,AAAU,True,True,,4.347068,15967.331252352891,19.56322,1462.7691625657656,29.563574,24518.88202321857,129.30414,,282.3639,-1.072441,282.3639221,-1.0723479
Gaia DR3 4260073263704313728,Gaia DR3 4260073263704313728,4260073263704313728,281.5040561286331,-1.2430533139464055,18.330126,21.433327,16.662516,0.2426973821823099,0.23900314,-1.8498998270356757,0.24856387,-3.978731012321852,0.22166935,1.1067483,3743.127,0.1729,-0.7606,18460097-0114349,12.759,11.425,10.642,0.023,0.022,0.021,AAA,J184600.87-011432.6,9.029,8.719,9.895,7.817,0.016,0.018,0.297,,AABU,True,True,,1.0154569,876.7911636721824,4.116496,36.48265843340088,5.2801127,1714.5566722235124,21.347391,,281.504053,-1.243048,281.503638,-1.2424098
