source_id,pmRA,e_pmDE,ra,parallax,radial_velocity,e_Gflux,parallax_over_error,BPflux,teff,e_radial_velocity,BPmag,logg,ruwe,RPflux,e_pmRA,Gmag,gaia_id,RPmag,feh,e_RPflux,pmDE,e_BPflux,e_parallax,Gflux,dec,Jmag,Kmag,qual_tmass,e_Kmag,e_Hmag,tmass_id,Hmag,e_Jmag,tmass_oid,e_W4mag,e_W3mag,e_W2mag,W1mag,W2mag,wise_id,e_W1mag,W4mag,qual_wise,W3mag,allwise_oid,Alias1
5933406236095064960,-3.878225715078072,0.026740823,242.91359183197497,0.13694621221137476,,21.709217,3.9191947,2781.3606349076717,,,16.7279,,0.93606013,58974.60332727,0.037435774,14.239495,Gaia DR3 5933406236095064960,12.821233,,94.872375,-4.065657555942908,7.3173947,0.034942437,37944.47280764547,-52.09607871908078,10.161,8.464,AAA,0.023,0.024,16113927-5205458,9.251,0.022,16113927-5205458,0.032,0.073,0.019,7.928,7.466,J161139.26-520545.8,0.024,2.926,AAAA,6.752,89682020,Gaia DR3 5933406236095064960
5934577009808707200,-2.2800894604165802,0.023240902,246.6551097683713,0.17176345913377672,,25.745228,6.3297315,9246.467541294678,,,15.423603,,1.0699961,97379.45073850559,0.029540075,13.589657,Gaia DR3 5934577009808707200,12.276728,,52.653767,-3.299699542788925,18.00107,0.02713598,69037.35152355468,-50.32305033752425,9.963,8.5,AAA,0.023,0.025,16263723-5019228,9.183,0.023,16263723-5019228,0.088,0.024,0.019,7.807,7.415,J162637.23-501922.9,0.022,6.067,AAAA,6.774,97810219,Gaia DR3 5934577009808707200
5940101437255609984,-2.1631499831613974,0.13499866,251.94181139699478,0.16405563357379938,,6.8753853,1.1972024,44.50421821473238,3367.6157,,21.217539,0.1423,1.458536,6745.336803280111,0.17001139,16.844965,Gaia DR3 5940101437255609984,15.175386,-0.3095,24.059896,-3.7703175999239043,5.2964377,0.13703248,3443.1855643535714,-45.98470049626529,11.116,9.098,AAA,0.024,0.027,16474603-4559049,9.837,0.032,16474603-4559049,0.136,0.12,0.02,8.575,8.233,J164746.03-455904.9,0.023,6.987,AABB,8.01,118687228,Gaia DR3 5940101437255609984
5940105354265570688,-1.7727705042645971,0.08071397,251.7496352239642,0.08962684936829708,,15.03662,1.1289846,269.6338504939223,3631.8984,,19.261606,0.6189,1.0167952,27155.479859073108,0.103094295,15.267295,Gaia DR3 5940105354265570688,13.663252,-0.3422,29.516918,-3.7295517973400694,7.9988484,0.079387136,14724.095349281915,-45.923814059742966,9.691,6.407,AAA,0.021,0.033,16465989-4555255,7.842,0.025,16465989-4555255,0.056,0.018,0.217,4.792,4.023,J164659.90-455525.5,0.29,4.462,BBAA,4.372,118991511,Gaia DR3 5940105354265570688
5940199976670849152,-2.0319351614547116,0.179021,251.80892935586013,0.40283335376284624,,,2.2146504,,,,,,1.1700642,2373.7011764548142,0.21735376,,Gaia DR3 5940199976670849152,16.30933,,21.207521,-3.628995045147539,,0.1818948,,-45.80889477679654,12.362,10.25,AAA,0.019,0.021,16471413-4548320,11.079,0.021,16471413-4548320,,0.301,0.024,9.428,9.071,J164714.14-454831.9,0.027,4.714,AABU,8.837,119564720,Gaia DR3 5940199976670849152
5941013958888446592,-1.7096780866018018,0.0141016655,250.3302156091964,0.304499216081864,,51.407852,16.099617,63275.74836683908,9929.187,,13.335449,2.1671,1.2231686,234522.77138326943,0.020719416,12.342471,Gaia DR3 5941013958888446592,11.3224325,0.1999,81.59034,-3.5096194343704443,52.198437,0.018913444,217750.01262296378,-48.033099821854655,9.862,8.533,AUU,,,16411926-4801591,9.268,0.04,16411926-4801591,0.126,0.022,0.018,7.546,7.077,J164119.24-480159.1,0.027,6.172,AAAB,6.52,108665862,Gaia DR3 5941013958888446592
5941555884987750144,-2.5523606396760528,0.024839751,247.07177533877584,0.28554586556397,,36.015255,9.15973,7546.0357191366475,,,15.644245,,1.1592594,111446.16521496339,0.03266486,13.549913,Gaia DR3 5941555884987750144,12.130233,,379.6088,-3.076235446891384,40.035995,0.031174049,71611.24441837953,-48.29466856548482,9.763,8.364,AAA,0.034,0.032,16281722-4817407,8.997,0.026,16281722-4817407,0.424,0.043,0.02,7.547,7.246,J162817.26-481741.1,0.025,6.804,AAAC,6.721,107400977,Gaia DR3 5941555884987750144
5942388180949371904,-5.768303062601444,0.02234992,246.58393463248734,0.05328521616518192,,10.546652,1.7054266,3384.1134840659543,,,16.51493,,1.0201584,18328.28598792167,0.033588134,15.222723,Gaia DR3 5942388180949371904,14.090091,,32.35933,-5.263133775902643,12.6638775,0.03124451,15341.13821189261,-45.99605515061673,12.027,9.459,AAA,0.023,0.024,16262015-4559457,10.732,0.024,16262015-4559457,0.093,0.02,0.022,8.136,7.456,J162620.15-455945.7,0.023,6.723,AAAA,6.925,118630962,Gaia DR3 5942388180949371904
5942844680092000256,-3.7901433182728352,0.016614532,249.3499255053535,0.17096360569856164,,74.09169,8.1374235,6600.276184100963,5236.667,,15.789637,1.5249,0.9083539,82501.88643143962,0.023845425,13.773248,Gaia DR3 5942844680092000256,12.456736,-2.3039,329.08304,-3.478780550253581,32.300636,0.021009551,58297.22042526948,-46.44132493227599,10.27,8.933,AAA,0.023,0.024,16372399-4626287,9.594,0.024,16372399-4626287,0.074,0.027,0.02,8.35,7.902,J163723.98-462628.8,0.023,5.673,AAAA,7.085,116417722,Gaia DR3 5942844680092000256
5942909761801240576,-4.4656414745988116,0.015482028,248.5726640224701,0.09363020308245688,,21.486477,4.1213384,4731.944530602196,,,16.150944,,0.9798236,53698.3600353281,0.024415437,14.230166,Gaia DR3 5942909761801240576,12.922993,,185.27011,-4.519415301018888,32.741055,0.022718398,38271.91988322278,-46.14807056151594,10.677,9.118,AAA,0.019,0.022,16341745-4608530,9.883,0.022,16341745-4608530,0.087,0.023,0.02,7.969,7.433,J163417.45-460852.9,0.023,6.585,AAAA,7.04,117876883,Gaia DR3 5942909761801240576
5942970269284633856,-3.1719895223814714,0.026650114,250.0218657704705,0.22058889703824286,,286.52612,8.018536,14999.264083026173,,,14.898367,,1.0481634,162199.78076432936,0.036186855,13.020902,Gaia DR3 5942970269284633856,11.72277,,1100.6317,-3.281008317017857,128.13916,0.027509872,116569.7719710398,-45.68686813657216,8.462,4.878,AAA,0.021,0.049,16400525-4541127,6.507,0.032,16400525-4541127,0.017,,,2.508,0.563,J164005.24-454112.8,,0.759,UUXA,,120173832,Gaia DR3 5942970269284633856
5943179829303158656,-3.0482337731972966,0.09571381,251.04449383761082,0.15964054472161449,,48.711617,1.7517858,1100.6038495760617,4823.203,,17.734465,1.9809,0.8695595,39053.267720716656,0.13162045,14.760683,Gaia DR3 5943179829303158656,13.268752,-0.791,213.10623,-2.9819834798466327,10.441605,0.091130175,23478.678034856945,-45.40684347632684,10.062,8.291,AAA,0.021,0.027,16441069-4524246,9.002,0.024,16441069-4524246,0.029,0.023,0.02,7.539,7.034,J164410.69-452424.5,0.031,3.355,AAAA,6.117,121577897,Gaia DR3 5943179829303158656
5943206251936707456,-2.8143170578760777,0.121930875,251.72259761303678,0.09215478363779225,,15.84328,0.7287746,143.81840153426916,3686.9607,,19.944006,0.2229,1.2398223,12531.752499588056,0.15020326,16.108942,Gaia DR3 5943206251936707456,14.502866,-0.7902,50.151695,-3.49908947213494,8.174769,0.12645169,6782.189817880472,-45.59972944508089,10.751,8.729,AAA,0.021,0.025,16465342-4535590,9.525,0.021,16465342-4535590,0.114,0.031,0.02,7.913,7.405,J164653.42-453558.9,0.023,6.267,AAAB,7.126,120610463,Gaia DR3 5943206251936707456
5944311432943167744,-5.20146877922388,0.019728864,248.51489685209154,0.09280673412875945,,26.582094,4.63353,10009.163193556205,,,15.337548,,1.0692478,44776.02826792994,0.023578081,14.181843,Gaia DR3 5944311432943167744,13.120281,,86.90861,-4.37788800013398,19.775642,0.020029379,40013.79839403281,-43.67358017442688,11.625,10.522,AAA,0.019,0.021,16340358-4340248,11.123,0.023,16340358-4340248,0.166,0.034,0.019,9.988,9.549,J163403.58-434024.8,0.022,7.492,AAAB,8.555,130383989,Gaia DR3 5944311432943167744
5951318036426102656,-1.1179954555644898,0.016193418,257.7276072197437,0.19312417499202728,,187.51192,12.081227,126485.66007048005,20770.512,,12.583439,3.4945,1.1676632,236740.62372267162,0.01913248,12.048135,Gaia DR3 5951318036426102656,11.312214,-0.356,420.21237,-3.742644903326447,222.59775,0.015985476,285557.11748272734,-46.60017702329062,10.264,9.528,AAA,0.019,0.021,17105462-4636005,9.889,0.024,17105462-4636005,0.275,0.023,0.021,9.002,8.676,J171054.62-463600.6,0.023,7.719,AAAB,7.9,115639482,Gaia DR3 5951318036426102656
5952632262112862080,3.060446306967049,0.017401928,261.3470103933588,0.1953157633457165,,1866.7769,10.68132,991744.2051086772,,,10.347543,,0.93916976,1013052.961419541,0.022334756,10.126102,Gaia DR3 5952632262112862080,9.733815,,2724.7952,0.5670437169310761,3216.7544,0.018285733,1676894.1419239936,-43.492072469961926,9.503,8.822,AAA,0.023,0.025,17252327-4329314,9.222,0.024,17252327-4329314,0.069,0.018,0.02,8.319,7.898,J172523.28-432931.4,0.022,6.426,AAAA,7.118,131314030,Gaia DR3 5952632262112862080
5952743072247166464,-0.18675557592476105,0.02421508,259.8745873213279,0.7230147357530403,,21286.021,26.848572,25016336.99800915,,,6.842983,,0.8809232,18369856.70765786,0.03139707,6.7683187,Gaia DR3 5952743072247166464,6.587631,,21430.357,-3.5231214803335646,37015.63,0.026929356,36950412.37854388,-45.639980733192765,6.251,5.52,AAA,0.021,0.049,17192989-4538238,6.09,0.024,17192989-4538238,0.023,0.016,0.089,5.318,4.777,J171929.89-453823.9,0.149,3.498,BAAA,4.246,120408757,Gaia DR3 5952743072247166464
