source_id,pmRA,e_pmDE,ra,parallax,radial_velocity,e_Gflux,parallax_over_error,BPflux,teff,e_radial_velocity,BPmag,logg,ruwe,RPflux,e_pmRA,Gmag,gaia_id,RPmag,feh,e_RPflux,pmDE,e_BPflux,e_parallax,Gflux,dec,Alias1
5254268071479968512,-6.809989009826781,0.02439322,160.9676805891287,0.3662499953744887,,29998.988,16.01394,38304415.10726802,,,6.38042,,0.72813386,24992840.982066628,0.026850658,6.370042,Gaia DR3 5254268071479968512,6.2533565,,41328.32,1.7801035501019906,63430.297,0.022870697,53324897.04873003,-60.11777533190529,Gaia DR3 5254268071479968512
5255677056923564544,-5.1085774802452635,0.020072658,156.07661505665104,0.19671709838713486,,404.3061,10.382338,50242.900614771126,,,13.5858555,,1.0483736,360562.9718875459,0.021947356,12.074918,Gaia DR3 5255677056923564544,10.855443,,1735.2067,2.765973615113209,209.46657,0.018947285,278599.08848092577,-57.80825907393273,Gaia DR3 5255677056923564544
5255678160756667776,-5.3911219706505475,0.018392777,155.9916744001457,0.23095845773168608,,1372.4757,13.476854,45541.95833442501,7159.4927,,13.6925125,1.9922,0.9751722,288698.94212805346,0.019734394,12.282945,Gaia DR3 5255678160756667776,11.096783,-1.6351,4942.5947,2.949012408034742,779.88293,0.017137416,230021.71140812393,-57.76358057891973,Gaia DR3 5255678160756667776
5255679638225357952,-5.627487893253316,0.060939226,155.86995477213085,0.08138509972509216,,9.675306,1.311689,499.8883296191705,,,18.59136,,1.0333428,14256.832538451143,0.063633434,15.8813305,Gaia DR3 5255679638225357952,14.362838,,26.072098,2.723999642909766,10.69215,0.062046032,8364.009799470597,-57.774837888490225,Gaia DR3 5255679638225357952
5256443042906853504,-6.166255334221783,0.020709218,152.63290693588937,0.1819159134026491,,801.1455,10.438433,898321.0520041586,,,10.454964,,0.98910666,576053.4087273041,0.020480689,10.415188,Gaia DR3 5256443042906853504,10.346739,,237.69774,2.5057920322665534,703.05194,0.017427512,1284906.433028952,-60.645105468815245,Gaia DR3 5256443042906853504
5328783280128054784,-4.528210456558526,0.021778947,133.7464997076666,0.5695307165111155,,2189.5332,31.256594,3801257.413312516,,,8.888724,,1.3009821,4291761.88654058,0.019885058,8.625519,Gaia DR3 5328783280128054784,8.1663065,,1563.8469,5.395023040018433,2658.2935,0.018221138,6679427.230258884,-47.592382179844044,Gaia DR3 5328783280128054784
5333031827450024320,-5.780252192671436,0.013860614,179.01562463250656,0.0816042217853154,,56.140976,5.766916,16137.34821345632,7832.3535,,14.818962,2.2215,1.1320553,82715.551932622,0.013846992,13.576997,Gaia DR3 5333031827450024320,12.453928,-1.0796,198.29665,1.153515436528429,54.8951,0.01415041,69847.03253750825,-63.31510054266036,Gaia DR3 5333031827450024320
5333291106030306688,-6.096742577351327,0.07182335,177.5176194147652,0.02735406845152579,,4.6116824,0.38223818,386.61967890978934,,,18.870333,,1.260956,5434.490475292987,0.07328923,16.794983,Gaia DR3 5333291106030306688,15.409999,,16.926361,0.8968819043720108,5.613703,0.071562886,3605.399182917716,-62.87094937201912,Gaia DR3 5333291106030306688
5334579768033444224,-4.619373617990022,0.024379816,179.08543677171318,0.1562166345494621,,9.5226145,7.2737427,8351.948402547943,8199.923,,15.534073,2.4866,1.1961519,32406.813577307723,0.02268052,14.534032,Gaia DR3 5334579768033444224,13.471305,-1.4272,38.622993,1.781897683205023,44.15051,0.021476788,28929.040771035547,-62.57717553358853,Gaia DR3 5334579768033444224
5337277763391646336,-5.918921994887801,0.02296567,166.4434451976365,0.10906084212381653,,9.39604,5.1899204,11679.77654375304,20796.434,,15.169956,4.2248,1.2882317,25150.721710283266,0.023514906,14.63126,Gaia DR3 5337277763391646336,13.746519,0.1977,307.03107,2.124619834017401,44.869564,0.021013973,26451.05227842192,-61.230157430031234,Gaia DR3 5337277763391646336
5337277763391663488,-5.919695146645018,0.016920602,166.4539616336185,0.10977303313054018,,23.35455,6.8742433,9757.384439459269,,,15.365209,,1.0240009,33726.27614937777,0.016800525,14.428031,Gaia DR3 5337277763391663488,13.427975,,74.94951,2.1467542223067206,26.13423,0.015968744,31895.859683350547,-61.228143911312685,Gaia DR3 5337277763391663488
5337278278787846784,-5.656209937527496,0.08999088,166.57798697542614,0.14079743976345666,,551.6818,1.8529341,37624.899857754725,,,13.899854,,5.5854797,214265.2896760441,0.08600968,12.589901,Gaia DR3 5337278278787846784,11.420516,,1812.8663,1.9993779036351444,336.1951,0.075986214,173374.9512432072,-61.23844665950098,Gaia DR3 5337278278787846784
