_r,AllWISE,RAJ2000,DEJ2000,W1mag,W2mag,W3mag,W4mag,e_W1mag,e_W2mag,e_W3mag,e_W4mag,qph,query_idx,gaia_id,sep_arcsec
0.692,J131209.12-624326.2,198.0380081,-62.7239589,6.802,6.272,4.097,1.901,0.029,0.02,,,AAUZ,90,Gaia DR3 5862501922341768704,0.7124476627118634
1.737,J131228.53-624149.2,198.118893,-62.6970188,6.459,6.129,4.185,0.14,0.049,0.026,0.198,,AABZ,92,Gaia DR3 5862502338987197312,1.7392469738885825
0.412,J131257.73-624059.6,198.2405789,-62.6832276,8.094,7.643,7.316,4.554,0.023,0.021,0.027,0.145,AAAB,94,Gaia DR3 5862525634891347968,0.4324777159963461
0.223,J125255.64-634638.1,193.2318703,-63.7772759,9.056,8.687,8.502,8.423,0.023,0.02,0.056,,AAAU,95,Gaia DR3 5862723203396880128,0.20762289383196517
0.958,J133345.25-640731.8,203.4385616,-64.1255236,9.925,9.643,9.341,8.888,0.023,0.022,0.051,0.456,AAAC,96,Gaia DR3 5864204692281636864,0.9346330614266657
0.294,J134932.58-613142.4,207.3857915,-61.5284486,5.51,4.773,4.565,4.351,0.097,0.092,0.016,0.039,AAAA,97,Gaia DR3 5865643433220067328,0.32113650215995504
1.022,J135413.44-615002.8,208.5560107,-61.8341349,9.968,9.527,9.495,7.557,0.025,0.024,0.369,,AACU,98,Gaia DR3 5867065376634816896,1.0230872666925344
0.29,J133053.25-620452.1,202.7219062,-62.0811545,5.652,4.903,4.534,4.234,0.132,0.06,0.015,0.026,BAAA,99,Gaia DR3 5868384073377056384,0.3022641340695889
0.228,J134114.03-605353.8,205.3084741,-60.8982895,9.182,8.881,8.094,7.0,0.022,0.02,0.041,0.111,AAAB,100,Gaia DR3 5868912491781014144,0.24554669662196657
0.28,J152411.26-624037.7,231.0469375,-62.6771412,5.348,4.566,4.149,3.961,0.138,0.065,0.014,0.027,BAAA,101,Gaia DR3 5875086524484367232,0.2506865164015405
0.308,J151341.73-591144.8,228.4239055,-59.1957834,5.169,4.363,4.208,4.184,0.218,0.111,0.017,0.057,BBAA,102,Gaia DR3 5876932844981435904,0.33609714858182227
0.213,J143106.10-612059.6,217.775434,-61.3498913,6.923,6.663,5.957,5.072,0.042,0.023,0.016,0.052,AAAA,103,Gaia DR3 5878402612822904704,0.18609631004742894
