_r,2MASS,RAJ2000,DEJ2000,Jmag,Hmag,Kmag,e_Jmag,e_Hmag,e_Kmag,Qflg,query_idx,gaia_id,sep_arcsec
0.147,19225361+1408498,290.723401,14.147172,12.668,10.915,9.676,0.032,0.033,0.023,AAA,60,Gaia DR3 4319620373924501120,0.16523597175005525
0.525,19251811+1702159,291.325478,17.037758,12.966,11.176,9.922,0.033,0.032,0.026,EEA,61,Gaia DR3 4322565798082824832,0.5288809693052582
0.105,19281561+1933214,292.065079,19.555956,9.298,8.74,8.214,0.022,0.021,0.019,AAA,62,Gaia DR3 4515628288919542784,0.12295455973845125
0.033,10513890-6056348,162.912091,-60.94302,10.249,9.826,9.558,0.024,0.025,0.021,AAA,63,Gaia DR3 5242117089256813568,0.057996585933318856
4.593,10513945-6056369,162.914403,-60.943611,14.45,13.861,10.804,0.109,0.168,,ACU,63,Gaia DR3 5242117089256813568,4.62273563504518
0.095,10435225-6007040,160.967709,-60.117805,6.097,6.012,5.816,0.023,0.034,0.024,AAA,64,Gaia DR3 5254268071479968512,0.11833845938834074
0.075,10241839-5748297,156.076665,-57.80827,8.653,7.797,7.18,0.026,0.042,0.02,AAA,65,Gaia DR3 5255677056923564544,0.10354864021013148
0.083,10235800-5745489,155.991673,-57.763607,8.858,8.083,7.588,0.02,0.051,0.017,AAA,66,Gaia DR3 5255678160756667776,0.09515388254971294
0.084,10232880-5746294,155.870002,-57.774857,10.596,9.197,8.339,0.03,0.023,0.029,AAA,67,Gaia DR3 5255679638225357952,0.11381303897623024
0.08,10103191-6038423,152.632965,-60.645107,9.926,9.736,9.167,0.032,0.032,0.027,AEA,68,Gaia DR3 5256443042906853504,0.10261876006585019
4.557,10103210-6038380,152.633759,-60.643913,12.383,11.876,11.781,0.042,0.041,0.052,AAA,68,Gaia DR3 5256443042906853504,4.548638212533935
0.146,08545916-4735327,133.746529,-47.592426,7.486,7.245,6.612,0.024,0.038,0.016,AAA,69,Gaia DR3 5328783280128054784,0.1730419503725288
4.455,11560309-6318546,179.012891,-63.315174,11.647,11.118,10.811,0.044,0.056,0.051,AAA,70,Gaia DR3 5333031827450024320,4.427364731017094
4.184,11560437-6318544,179.018229,-63.315132,12.077,11.557,11.276,0.028,0.032,0.032,AAA,70,Gaia DR3 5333031827450024320,4.21200316280183
0.139,11560376-6318544,179.015687,-63.315136,10.45,9.887,9.526,0.055,0.062,0.06,AAA,70,Gaia DR3 5333031827450024320,0.16266591263041302
0.067,11500424-6252154,177.517676,-62.870956,12.573,11.575,10.94,0.03,0.032,0.029,AAA,71,Gaia DR3 5333291106030306688,0.09590516683115274
3.487,11562059-6234412,179.085807,-62.578133,12.22,10.996,10.427,0.029,,,AUU,72,Gaia DR3 5334579768033444224,3.501108035306104
0.07,11562051-6234378,179.085493,-62.577171,11.571,10.742,9.992,0.051,,,AUU,72,Gaia DR3 5334579768033444224,0.09464392925951697
0.172,11054642-6113487,166.443455,-61.230209,11.991,11.497,10.793,0.044,0.05,0.047,AEA,73,Gaia DR3 5337277763391646336,0.18642714983114048
3.544,11054613-6113457,166.442221,-61.229378,13.185,12.783,12.54,0.065,0.086,0.07,AAA,73,Gaia DR3 5337277763391646336,3.517465020851908
0.086,11054896-6113413,166.454018,-61.228161,11.533,11.213,10.705,,0.046,0.042,UAA,74,Gaia DR3 5337277763391663488,0.11542949109653422
3.597,11054845-6113414,166.451901,-61.228168,11.906,12.85,12.604,,0.102,0.079,UAA,74,Gaia DR3 5337277763391663488,3.571642102824295
0.125,11061873-6114184,166.578071,-61.238461,9.513,8.744,8.207,0.03,0.036,0.024,EAA,75,Gaia DR3 5337278278787846784,0.1544317016849389
4.726,11061858-6114138,166.577427,-61.237167,10.395,9.276,8.608,0.033,0.078,0.059,AAA,75,Gaia DR3 5337278278787846784,4.707789498638028
4.891,11061873-6114184,166.578071,-61.238461,9.513,8.744,8.207,0.03,0.036,0.024,EAA,76,Gaia DR3 5337278278787851136,4.9106218260560315
0.135,11061858-6114138,166.577427,-61.237167,10.395,9.276,8.608,0.033,0.078,0.059,AAA,76,Gaia DR3 5337278278787851136,0.1644958521504839
0.122,11150758-6116546,168.781598,-61.281845,10.467,9.682,9.237,0.037,0.041,0.036,AAA,77,Gaia DR3 5337417985482248576,0.12823238614530214
0.125,10574286-6034005,164.428596,-60.566811,11.04,10.343,9.489,0.047,0.036,0.029,AAA,78,Gaia DR3 5338030172959579008,0.15263649438541457
0.161,11010210-6014011,165.25875,-60.233639,10.949,10.351,9.757,0.043,0.056,0.039,AAA,79,Gaia DR3 5338141464150107008,0.19058574823778815
